country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Canada,19.5k,19.6k,19.9k,20.7k,21.8k,22.7k,23.3k,24.5k,25.4k,26.9k,28.6k,29.4k,30.2k,31.6k,33.2k,35.6k,37.5k,39k,39.8k,38.2k,39.3k,40.9k,41.5k,43.6k,45k,44k,45.9k,47.7k,49.1k,49.2k,46.9k,52.7k,57.8k
Switzerland,,,,,,31.5k,32.3k,34.1k,35.4k,36.6k,39k,39.2k,39.6k,41.2k,42.6k,44.9k,49.6k,51.1k,50.3k,53.7k,57.3k,57.8k,60.4k,62.7k,63.4k,65.9k,67k,67.3k,68.1k,70.2k,68.6k,76k,82.9k
Chile,4200,4620,5300,5820,6180,6970,7710,8320,8730,8670,9140,9550,9850,10.3k,10.9k,11.7k,14k,15.2k,15.3k,15k,16.9k,18.6k,20.4k,21.4k,21.8k,22.1k,22.8k,23.6k,24.5k,24.6k,23.4k,26.7k,28.6k
China,980,1100,1260,1450,1660,1830,2030,2240,2410,2620,2880,3160,3500,3910,4420,5020,5830,6830,7630,8290,9220,10.2k,11.1k,11.8k,12.5k,12.8k,13.4k,14.2k,15.4k,16.6k,17.1k,19.4k,21.3k
Cote d'Ivoire,2480,2500,2480,2440,2480,2620,1830,1940,1990,2010,1880,1840,1810,1750,1860,2060,2110,2150,2280,2340,2460,2250,2490,2650,4180,4480,4590,4690,4920,5200,5220,5680,6340
Cameroon,1940,1840,1780,1640,1650,1680,1740,1800,1870,1940,1970,2030,2110,2260,2450,2500,2640,2730,2800,2840,2860,2930,2980,3140,3340,3390,3500,3620,3750,3830,3790,4000,4330
"Congo, Dem. Rep.",,,,,490,470,510,480,460,430,420,400,410,430,460,480,510,540,550,560,590,620,620,670,750,810,910,990,1030,1040,1070,1140,1290
"Congo, Rep.",2900,3000,3180,2920,2890,2120,2170,2610,2820,2520,2700,2750,2910,2970,2840,3270,3910,3580,3920,4450,4790,4680,5740,5680,5600,4680,4090,4920,4480,4700,3980,3920,4050
Colombia,4880,5070,5300,5650,6050,6380,6490,6710,6730,6440,6610,6740,6900,7150,7610,8200,8890,9590,9940,10.1k,10.4k,11.2k,11.6k,12.4k,13k,13.2k,13.8k,14.1k,14.8k,15.5k,14.9k,16.8k,19.5k
Comoros,1510,1440,1580,1620,1530,1580,1560,1610,1610,1640,1820,1870,1890,1930,1980,2060,2140,2180,2260,2300,2370,2460,2650,2800,2900,2900,3070,3260,3390,3450,3420,3580,3850
Cape Verde,1080,1110,1230,1330,1570,1780,1970,2180,2420,2660,3020,3150,3280,3450,3840,4130,4520,5370,5760,5660,5670,5970,5810,5830,5720,6030,6470,6910,7330,7920,6280,6910,8600
Costa Rica,4740,4980,5440,5830,6150,6360,6450,6760,7090,7210,7440,7730,7980,8350,8860,9410,10.3k,11.4k,12.1k,11.7k,12.3k,13k,13.7k,14.3k,15.3k,16.2k,18.1k,19.1k,20k,21.3k,20.4k,21.3k,23.4k
Cayman Islands,,,,,,,,,,,,,,,,,,,,,62.8k,64.5k,44.1k,38.6k,37.2k,38.6k,42.3k,46.6k,50.8k,56k,48.7k,53k,
Cyprus,13.3k,13.5k,14.7k,14.8k,15.6k,16.2k,16.5k,16.8k,19.3k,18.5k,19.5k,21.2k,22.3k,23.3k,24.5k,26.3k,28.4k,30.8k,34.3k,33.8k,33k,34.3k,31.7k,30.1k,29.4k,31.7k,34.5k,37.3k,39.2k,41.7k,38.8k,42.1k,47.5k
Czech Republic,,,11.8k,12.1k,12.8k,13.8k,14.5k,14.6k,14.8k,15.1k,15.9k,17.1k,17.6k,18.9k,19.9k,21.1k,22.4k,24.6k,26.3k,25.9k,25.8k,26.7k,27.4k,28.9k,30.3k,31.6k,33.7k,36.6k,38.9k,41.5k,40.7k,43.8k,46.9k
Germany,19.7k,21.1k,21.8k,21.9k,22.8k,23.5k,24.1k,24.5k,25.2k,26.1k,27.1k,28.2k,28.9k,29.6k,31.5k,32.1k,34.7k,36.8k,38.2k,37.6k,39.7k,43.6k,44.4k,46k,48k,48.7k,51.8k,54.3k,57.1k,59.6k,58.1k,61.3k,66k
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,3750,3980,4270,4320,4440,4670,5010,5060,5500,6010
Dominica,4240,4420,4630,4870,4890,5100,5270,5540,5880,5810,5850,6300,6140,6670,6960,7300,8220,8900,9780,9850,10.1k,10.3k,10k,10.1k,10.8k,10.9k,11.7k,11.6k,12.2k,12.7k,11k,12.1k,13.5k
Denmark,17.6k,18.4k,19.2k,19.7k,21.2k,22.3k,23.3k,24.5k,25.4k,26.4k,28k,29k,30.3k,30.6k,33k,34.4k,37.8k,39.2k,41.7k,40.7k,43.7k,45.3k,45.8k,48.2k,49.6k,50.5k,53.3k,56.6k,59.1k,61.6k,62.8k,68.7k,77.4k
